,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
protein_g,1056.0,10.365340909090909,10.304484551601412,0.0,1.45,5.9,18.375,43.7625,0.8853609559041525,0.022337674790308792
fat_g,1056.0,4.882007575757576,6.3323693104795105,0.0,0.3,1.5,7.325,17.8625,1.1963935896139093,-0.1445202789436375
carbs_g,1056.0,10.847632575757574,12.62995969236435,0.0,0.1,6.15,17.575,43.7875,1.3250116502904956,0.9342255172657463
fiber_g,1056.0,3.2856060606060606,7.28398758116592,0.0,0.0,1.3,2.8,53.1,4.3011713970889875,21.157309464062962
sugar_g,1056.0,2.3916666666666666,3.1927890712843032,0.0,0.0,0.8500000000000001,4.0,10.0,1.330556957806672,0.5023978264138869
calories,1056.0,150.94602272727272,127.67163542179333,0.0,51.5,111.0,197.25,415.875,1.0883326542145129,-0.08661174343418754
omega3_mg,1056.0,80.83143939393939,97.55903059884254,0.0,10.0,30.0,112.5,266.25,1.1011157875635709,-0.44617106697145825
omega6_mg,1056.0,419.9469696969697,532.9162805863893,0.0,30.0,120.0,650.0,1580.0,1.25726436472733,0.1337328055970488
bioavailability_score,1056.0,0.6712121212121211,0.20436573591009427,0.05,0.55,0.68,0.86,0.95,-0.7848635837166398,0.3611328208501514
glycemic_index,1056.0,20.234848484848484,23.969288358897888,0.0,0.0,15.0,36.0,78.0,0.9324179296362741,-0.46283548142722797
ingredient_cost_usd,1056.0,0.5179545454545454,0.46208058407421904,0.08,0.15,0.375,0.7,2.5,1.751569666029957,3.484528935473172
toxin_flag,1056.0,0.059469696969696964,0.2099544139876413,0.0,0.0,0.0,0.0,1.0,3.434705826526395,10.399753622138812
protein_match,1056.0,0.3140991452124265,0.3224698425446078,0.0,0.03982142857142855,0.1617857142857142,0.5572802197802198,1.0,0.8593157282736131,-0.6103860295885335
fat_match,1056.0,0.8159936868686869,0.37160261182964127,0.0,1.0,1.0,1.0,1.0,-1.6347678753953674,0.7903429204300787
carb_tolerance,1056.0,0.8879034204431931,0.2998451900814773,0.0,1.0,1.0,1.0,1.0,-2.465303014989858,4.292409053547734
sugar_risk,1056.0,0.13920454545454544,0.22034684381949968,0.0,0.0,0.042499999999999996,0.2,1.0,2.3210152892386064,5.511730883448498
omega_balance,1056.0,0.46370253058179195,0.34219878869515086,0.0,0.13062499999999996,0.5,0.7364583333333334,1.0,0.2490586117633176,-1.2791305068500383
digestibility_index,1056.0,0.45103549357904615,0.27564981545558326,0.0,0.19263617262785915,0.4929999999999999,0.68,0.9495345418912297,-0.2618551156660355,-1.0983090421571573
